Date,M,V,P,VP,BV,BP,BVP,Mom,BMom,VM,VPM,VPM_intersection,BVM,BVPM,BVPM_intersection
2003-08,0.0986,0.12761250000000002,0.105325,0.17335,0.1474,0.10235,0.2168,0.10075,0.0883,0.11418125000000001,0.11122916666666667,0.13705,0.11785000000000001,0.11268333333333334,0.15255
2003-09,0.0756,0.07578750000000001,0.0908125,0.10450000000000001,0.062425,0.059875,0.046900000000000004,0.08145000000000001,0.0758,0.07861875000000002,0.08268333333333334,0.092975,0.06911250000000001,0.06603333333333333,0.06135
2003-10,0.0423,0.055012500000000006,0.0501625,0.07475,0.072475,0.040275000000000005,0.1275,0.06415,0.04650000000000001,0.05958125,0.05644166666666667,0.06945,0.0594875,0.05308333333333334,0.08700000000000001
2003-11,-0.038,-0.0737375,-0.062287499999999996,-0.10915,-0.063025,-0.0436,-0.11019999999999999,-0.08635000000000001,-0.0862,-0.08004375,-0.07412500000000001,-0.09775,-0.0746125,-0.064275,-0.0982
2003-12,0.06549999999999999,0.084225,0.070125,0.11580000000000001,0.09680000000000001,0.07210000000000001,0.1233,0.0695,0.0819,0.0768625,0.07461666666666666,0.09265000000000001,0.08935000000000001,0.08360000000000001,0.1026
2004-01,0.020499999999999997,0.0571875,0.044975,0.046950000000000006,0.020775,0.024675,0.0199,0.05575,0.016200000000000003,0.05646875,0.052637500000000004,0.05135000000000001,0.0184875,0.02055,0.018050000000000004
2004-02,-0.0002000000000000001,0.015199999999999998,0.0066,0.01915,0.0037500000000000007,-0.0014749999999999993,-0.0154,-0.0126,-0.0109,0.001299999999999999,0.0030666666666666668,0.003275,-0.0035749999999999996,-0.0028749999999999995,-0.01315
2004-03,0.1512,0.233175,0.19475,0.25529999999999997,0.18917499999999998,0.134575,0.1834,0.24285,0.2284,0.23801250000000002,0.22359166666666666,0.249075,0.2087875,0.18404999999999996,0.2059
2004-04,-0.0446,-0.0255125,-0.006812499999999999,-0.0029500000000000004,-0.050824999999999995,-0.042975,-0.0187,0.0016500000000000022,-0.041299999999999996,-0.01193125,-0.010225,-0.0006499999999999991,-0.04606249999999999,-0.045033333333333335,-0.03
2004-05,-0.0329,-0.052700000000000004,-0.047787500000000004,-0.06815,-0.0303,-0.022649999999999997,-0.0356,-0.07454999999999999,-0.0588,-0.063625,-0.05834583333333334,-0.07135,-0.04455,-0.03725,-0.0472
2004-06,0.0547,0.08237499999999999,0.08685,0.07495,0.0675,0.056874999999999995,0.0588,0.0846,0.051399999999999994,0.08348749999999999,0.08460833333333333,0.079775,0.05945,0.05859166666666666,0.055099999999999996
2004-07,-0.0668,-0.0402125,-0.047725000000000004,-0.02465,-0.04575,-0.049825,-0.0315,-0.09935,-0.1045,-0.06978124999999999,-0.06242916666666667,-0.062,-0.075125,-0.06669166666666666,-0.068
2004-08,0.011,0.019862499999999998,0.0156375,0.0233,0.013149999999999998,0.008225000000000001,0.0092,0.0313,0.0414,0.02558125,0.022266666666666667,0.0273,0.027275,0.020925,0.0253
2004-09,-0.0307,-0.0141375,-0.0315625,-0.02,-0.013250000000000001,-0.027274999999999997,-0.0144,-0.0503,-0.0535,-0.03221875,-0.032,-0.03515,-0.033375,-0.031341666666666664,-0.03395
2004-10,0.0249,0.025762499999999997,0.020725,0.0177,0.016050000000000002,0.022125,0.0161,0.018349999999999998,0.0184,0.02205625,0.021612499999999996,0.018025,0.017225,0.018858333333333335,0.01725
2004-11,0.0396,0.0322375,0.0247125,0.02785,0.029574999999999997,0.022025000000000003,0.005600000000000001,0.02985,0.0322,0.031043750000000002,0.028933333333333335,0.02885,0.0308875,0.027933333333333334,0.0189
2004-12,0.0519,0.056125,0.0402875,0.04875,0.06330000000000001,0.0382,0.046900000000000004,0.0528,0.059000000000000004,0.0544625,0.0497375,0.050775,0.06115000000000001,0.0535,0.052950000000000004
2005-01,-0.0104,0.0283625,0.01805,0.026099999999999995,-0.0011250000000000001,-0.016075,-0.0134,0.033100000000000004,0.006999999999999999,0.03073125,0.026504166666666665,0.0296,0.0029374999999999996,-0.0034000000000000002,-0.0032000000000000006
2005-02,0.0187,0.044187500000000005,0.038175,0.05265,0.025275,0.03215,0.0484,0.0238,-0.0011,0.03399375,0.0353875,0.038225,0.0120875,0.018775,0.02365
2005-03,-0.013000000000000001,0.021362500000000006,0.0036249999999999993,0.01895,0.0113,-0.009200000000000002,0.0019,-0.0008499999999999992,-0.011699999999999999,0.010256250000000003,0.008045833333333335,0.00905,-0.00019999999999999966,-0.0032,-0.004899999999999999
2005-04,-0.0196,0.008825000000000001,-0.0015874999999999993,0.0224,-0.0033750000000000004,-0.02175,-0.0060999999999999995,4.99999999999997e-05,-0.0074,0.0044375000000000005,0.002429166666666667,0.011224999999999999,-0.0053875,-0.010841666666666666,-0.00675
2005-05,-0.0237,-0.032125,-0.021712499999999996,-0.02105,-0.019575000000000002,-0.021224999999999997,-0.019299999999999998,-0.037450000000000004,-0.023700000000000002,-0.0347875,-0.030429166666666663,-0.02925,-0.021637500000000004,-0.021500000000000002,-0.0215
2005-06,0.009600000000000001,0.01285,0.017925000000000003,0.015799999999999998,0.01735,0.016175000000000002,0.026099999999999998,0.0234,0.022099999999999998,0.018125000000000002,0.018058333333333332,0.0196,0.019725,0.018541666666666665,0.024099999999999996
2005-07,0.009,0.016450000000000003,0.014424999999999999,0.02805,0.00835,0.009874999999999998,0.020099999999999996,0.0275,0.026000000000000002,0.021975,0.01945833333333333,0.027775,0.017175000000000003,0.014741666666666667,0.02305
2005-08,0.0697,0.043699999999999996,0.045,0.0236,0.047525000000000005,0.0519,0.0138,0.058550000000000005,0.0825,0.051125000000000004,0.04908333333333333,0.041075,0.0650125,0.06064166666666667,0.04815
2005-09,0.0822,0.0520875,0.0551375,0.037000000000000005,0.058525,0.076375,0.0274,0.06745,0.1002,0.059768749999999995,0.058225,0.052225,0.0793625,0.07836666666666665,0.0638
2005-10,-0.0007999999999999995,0.003737500000000002,-0.0007749999999999988,-0.0282,0.0036250000000000015,-0.024425000000000002,-0.0482,0.0284,0.0226,0.016068750000000003,0.010454166666666667,0.00010000000000000113,0.0131125,0.0005999999999999998,-0.0128
2005-11,0.032400000000000005,0.0199375,0.023299999999999998,0.031049999999999998,0.002324999999999999,0.004924999999999997,-0.0347,0.0358,0.0253,0.027868749999999998,0.026345833333333332,0.033424999999999996,0.013812499999999998,0.010849999999999999,-0.004700000000000001
2005-12,0.09769999999999998,0.0737875,0.09476250000000001,0.06845000000000001,0.05345,0.0719,0.0504,0.1343,0.1165,0.10404375,0.10095000000000003,0.101375,0.084975,0.08061666666666667,0.08345
2006-01,0.038900000000000004,0.040499999999999994,0.034624999999999996,0.03985,0.037175,0.0353,0.0434,0.0303,0.0216,0.0354,0.03514166666666666,0.035074999999999995,0.0293875,0.03135833333333333,0.0325
2006-02,-0.0224,-0.013425,-0.023137500000000002,0.015499999999999998,0.011725,0.00465,0.053,-0.06105000000000001,-0.044800000000000006,-0.03723750000000001,-0.032537500000000004,-0.022775000000000004,-0.016537500000000004,-0.009475000000000003,0.004099999999999996
2006-03,0.030399999999999996,0.0205125,0.013412499999999997,0.0023999999999999994,0.018574999999999998,0.003199999999999999,-0.024900000000000002,0.034699999999999995,0.0368,0.02760625,0.022874999999999996,0.018549999999999997,0.027687499999999997,0.019524999999999997,0.005949999999999999
2006-04,0.024499999999999997,0.021475,0.025412499999999998,0.02665,0.036425,0.031975,0.0611,0.01,0.0062,0.0157375,0.0189625,0.018325,0.021312499999999998,0.024866666666666665,0.03365
2006-05,-0.06970000000000001,-0.06467499999999998,-0.0510875,-0.0397,-0.0622,-0.021225,-0.0113,-0.09820000000000001,-0.0968,-0.0814375,-0.07132083333333333,-0.06895000000000001,-0.0795,-0.060074999999999996,-0.05405
2006-06,-0.0137,-0.02975,-0.024737500000000003,-0.01905,-0.017849999999999998,-0.015974999999999996,-0.0085,-0.01925,-0.0062,-0.0245,-0.024579166666666666,-0.01915,-0.012025,-0.013341666666666663,-0.007350000000000001
2006-07,-0.018000000000000002,-0.021187499999999998,-0.03408750000000001,-0.001299999999999999,-0.01125,-0.010750000000000001,0.0088,-0.044399999999999995,-0.0134,-0.032793749999999997,-0.033225,-0.022849999999999995,-0.012325,-0.0118,-0.0023
2006-08,0.0173,0.00027500000000000007,0.0225625,-4.99999999999997e-05,0.004875,0.021075,0.0102,0.016550000000000002,0.0098,0.008412500000000002,0.01312916666666667,0.00825,0.0073375,0.011916666666666667,0.01
2006-09,-0.0166,-0.023625,-0.017925,-0.01935,-0.02205,-0.013825,-0.0189,-0.0208,-0.0161,-0.0222125,-0.020783333333333334,-0.020075,-0.019075,-0.017325000000000004,-0.0175
2006-10,0.0166,-0.004475,0.006012499999999999,0.0037,0.00455,0.01825,0.0222,0.0059,0.0167,0.0007125,0.0024791666666666664,0.0048000000000000004,0.010624999999999999,0.013166666666666667,0.019450000000000002
2006-11,-0.0003000000000000008,-0.0038874999999999995,-0.002875000000000001,0.00375,0.005724999999999999,0.0151,0.0281,-0.0049,0.0036,-0.00439375,-0.0038875,-0.000575,0.0046625,0.008141666666666667,0.01585
2006-12,0.0182,0.012,0.01735,0.0246,0.010975,0.016425,0.0089,0.025949999999999997,0.047599999999999996,0.018975,0.018433333333333333,0.025275,0.029287499999999998,0.024999999999999998,0.028249999999999997
2007-01,0.008400000000000001,0.0115875,0.005837500000000001,-0.009649999999999999,0.02395,0.014150000000000001,0.028900000000000002,0.00605,0.0003,0.00881875,0.007825,-0.0017999999999999995,0.012125,0.0128,0.014600000000000002
2007-02,0.0384,0.046325,0.0395875,0.0548,0.047325,0.042499999999999996,0.057699999999999994,0.0332,0.0378,0.0397625,0.03970416666666667,0.044,0.0425625,0.042541666666666665,0.04775
2007-03,-0.012700000000000001,0.008862499999999999,-0.012512500000000001,0.0031000000000000003,0.010674999999999999,-0.015275,-0.0063,-0.00545,-0.0106,0.0017062499999999994,-0.003033333333333334,-0.0011749999999999998,3.749999999999934e-05,-0.005066666666666667,-0.00845
2007-04,-0.0231,-0.016974999999999997,-0.027975,-0.02215,-0.01785,-0.032225000000000004,-0.0432,-0.00345,-0.008,-0.0102125,-0.016133333333333333,-0.012799999999999999,-0.012925,-0.019358333333333335,-0.0256
2007-05,0.0078,-0.022700000000000005,-0.006762500000000001,-0.0489,-0.018225,0.001749999999999998,-0.0626,-0.00075,0.0021,-0.011725000000000003,-0.010070833333333336,-0.024825,-0.0080625,-0.004791666666666668,-0.030250000000000003
2007-06,0.0007999999999999999,0.003562499999999999,0.0034624999999999994,-0.03125,-0.008249999999999999,-0.016075,-0.053,0.023549999999999998,0.0062,0.013556249999999999,0.010191666666666667,-0.003850000000000001,-0.0010249999999999994,-0.0060416666666666665,-0.0234
2007-07,-0.00019999999999999966,0.0031375,-0.006275000000000001,-0.0053,-0.003925,-0.021,-0.019,0.0211,0.013300000000000001,0.012118750000000001,0.0059875,0.0079,0.004687500000000001,-0.0038750000000000004,-0.0028499999999999992
2007-08,-0.0338,-0.034437499999999996,-0.0249625,0.0055,-0.023924999999999995,2.499999999999985e-05,0.0282,-0.04295,-0.037000000000000005,-0.03869375,-0.03411666666666666,-0.018725000000000002,-0.0304625,-0.0203,-0.004400000000000003
2007-09,0.0173,0.003575,0.0017749999999999988,0.0091,0.011625,0.016925,0.0287,0.038900000000000004,0.0555,0.021237500000000003,0.014750000000000001,0.024,0.0335625,0.028016666666666665,0.0421
2007-10,0.0039000000000000003,-0.014037499999999998,0.005162500000000001,-0.0282,-0.0034249999999999992,-0.008150000000000001,-0.0264,-5.0000000000000565e-05,-0.0115,-0.00704375,-0.0029749999999999998,-0.014125,-0.0074624999999999995,-0.007691666666666666,-0.01895
